id,arabic_name,transliteration,meaning,quran_references
59,الْمُعِيدُ,AL-MU'ID,The Restorer,"Surah 10:4, Surah 10:34, Surah 27:64, Surah 29:19, Surah 30:11, Surah 30:27, Surah 85:13"
60,الْمُحْيِي,AL-MUHYI,The Giver of Life,"Surah 7:158, Surah 15:23, Surah 30:50, Surah 41:39, Surah 57:2"
61,اَلْمُمِيتُ,AL-MUMIT,The Bringer of Death,"Surah 7:158, Surah 15:23, Surah 57:2"
62,الْحَيُّ,AL-HAYY,The Ever-Living,"Surah 2:255, Surah 3:2, Surah 20:111, Surah 25:58, Surah 40:65"
63,الْقَيُّومُ,AL-QAYYUM,The Self-Subsisting,"Surah 2:255, Surah 3:2, Surah 20:111"
64,الْوَاجِدُ,AL-WAJID,The Finder,
65,الْمَاجِدُ,AL-MAAJID,The Noble,
66,الْواحِدُ,AL-WAHID,The One,"Surah 2:163, Surah 5:73, Surah 9:31, Surah 12:39, Surah 13:16, Surah 14:48, Surah 16:22"
67,اَلاَحَدُ,AL-AHAD,The Unique,"Surah 112:1"
68,الصَّمَدُ,AS-SAMAD,The Eternal,"Surah 112:2"
69,الْقَادِرُ,AL-QADIR,The Capable,"Surah 6:65, Surah 36:81, Surah 46:33, Surah 75:40, Surah 86:8"
70,الْمُقْتَدِرُ,AL-MUQTADIR,The Powerful,"Surah 18:45, Surah 54:42, Surah 54:55"
71,الْمُقَدِّمُ,AL-MUQADDIM,The Expediter,
72,الْمُؤَخِّرُ,AL-MU'AKHKHIR,The Delayer,
73,الأوَّلُ,AL-AWWAL,The First,"Surah 57:3"
74,الآخِرُ,AL-AAKHIR,The Last,"Surah 57:3"
75,الظَّاهِرُ,AZ-ZAHIR,The Manifest,"Surah 57:3"
76,الْبَاطِنُ,AL-BATIN,The Hidden,"Surah 57:3"
77,الْوَالِي,AL-WALI,The Governor,"Surah 13:11"
78,الْمُتَعَالِي,AL-MUTA'ALI,The Most Exalted,"Surah 13:9"
79,الْبَرُّ,AL-BARR,The Source of Goodness,"Surah 52:28"
80,التَّوَابُ,AT-TAWWAB,The Acceptor of Repentance,"Surah 2:37, Surah 2:54, Surah 2:128, Surah 2:160, Surah 4:64, Surah 9:104, Surah 9:118"
81,الْمُنْتَقِمُ,AL-MUNTAQIM,The Avenger,"Surah 3:4, Surah 5:95, Surah 14:47, Surah 32:22, Surah 43:41, Surah 44:16"
82,العَفُوُّ,AL-AFUWW,The Pardoner,"Surah 4:43, Surah 4:99, Surah 4:149, Surah 22:60, Surah 58:2"
83,الرَّؤُوفُ,AR-RA'UF,The Most Kind,"Surah 2:143, Surah 3:30, Surah 9:117, Surah 16:7, Surah 16:47, Surah 22:65, Surah 24:20"
84,مَالِكُ الْمُلْكِ,MALIK-UL-MULK,Master of the Kingdom,"Surah 3:26"
85,ذُوالْجَلاَلِ وَالإكْرَامِ,DHUL-JALAL WAL-IKRAM,Possessor of Glory and Honor,"Surah 55:27, Surah 55:78"
86,الْمُقْسِطُ,AL-MUQSIT,The Equitable,"Surah 7:29"
87,الْجَامِعُ,AL-JAMI,The Gatherer,"Surah 3:9, Surah 4:140"
88,الْغَنِيُّ,AL-GHANI,The Self-Sufficient,"Surah 2:263, Surah 2:267, Surah 3:97, Surah 4:6, Surah 4:131, Surah 6:133"
89,الْمُغْنِي,AL-MUGHNI,The Enricher,"Surah 9:28, Surah 53:48, Surah 93:8"
90,اَلْمَانِعُ,AL-MANI',The Preventer,
91,الضَّارَُ,AD-DHARR,The Distresser,
92,النَّافِعُ,AN-NAFI',The Benefactor,
93,النُّورُ,AN-NUR,The Light,"Surah 24:35"
94,الْهَادِي,AL-HADI,The Guide,"Surah 22:54, Surah 25:31"
95,الْبَدِيعُ,AL-BADI,The Incomparable,"Surah 2:117, Surah 6:101"
96,الْبَاقِي,AL-BAQI,The Everlasting,"Surah 55:27"
97,الْوَارِثُ,AL-WARITH,The Inheritor,"Surah 15:23, Surah 19:40"
98,الرَّشِيدُ,AR-RASHID,The Guide to the Right Path,"Surah 11:87"
99,الصَّبُورُ,AS-SABUR,The Patient,
